,episodes,baseline,ddqn,ppo
185,185,-0.39999999999999997,-1.6686625056682949,0.5291936669518158
186,186,-0.39999999999999997,-1.6733167677570233,0.550133925520805
187,187,-0.39999999999999997,-1.7456936102154563,0.578234618171479
188,188,-0.39999999999999997,-1.7852881911767786,0.5785890218432975
189,189,-0.39999999999999997,-2.0003456359228604,0.5589419828895724
190,190,-0.39999999999999997,-2.0148855964501955,0.556447606196276
191,191,-0.39999999999999997,-1.9686103802618462,0.5618904214899293
192,192,-0.39999999999999997,-1.9600394886177708,0.5741300537482381
193,193,-0.39999999999999997,-1.9954732818826724,0.5674173355051848
194,194,-0.39999999999999997,-2.0339710923612877,0.6386836782614975
195,195,-0.39999999999999997,-2.0888355148862994,0.651875891515842
196,196,-0.39999999999999997,-2.089417249544021,0.6699957007031344
197,197,-0.39999999999999997,-2.1213481161077823,0.7183887096650229
198,198,-0.39999999999999997,-2.1597510612392976,0.7116494873445446
199,199,-0.39999999999999997,-2.1658226229208815,0.6822491618276572
200,200,-0.39999999999999997,-2.1829603430752296,0.721793966027638
201,201,-0.39999999999999997,-2.2254025892525435,0.7317362085519222
202,202,-0.39999999999999997,-2.0863891760870117,0.7378312662291678
203,203,-0.39999999999999997,-2.043816141236278,0.743731947749448
204,204,-0.39999999999999997,-1.8981773098951618,0.7522223480743374
205,205,-0.39999999999999997,-1.8799232295095871,0.7786861214652201
206,206,-0.39999999999999997,-1.8573051240057108,0.8043873292322132
207,207,-0.39999999999999997,-1.853484020687719,0.7682533824561072
208,208,-0.39999999999999997,-1.8107210292954241,0.7493365444467385
209,209,-0.39999999999999997,-1.8142593413104984,0.7597426656019757
210,210,-0.39999999999999997,-1.899291441968097,0.7286153781411309
211,211,-0.39999999999999997,-1.9098688289634331,0.7952347057724195
212,212,-0.39999999999999997,-2.024193722097769,0.8107872923472778
213,213,-0.39999999999999997,-1.9634974823862015,0.8567348255824007
214,214,-0.39999999999999997,-1.9746834864516662,0.9070707737921052
215,215,-0.39999999999999997,-1.9686235831267598,0.9109561201490435
216,216,-0.39999999999999997,-1.951716435117892,0.9211198513138272
