,time,group1_tps,group1_delay,group2_tps,group2_delay,group3_tps,group3_delay,group4_tps,group4_delay,group5_tps,group5_delay,group6_tps,group6_delay,group7_tps,group7_delay,group8_tps,group8_delay,group9_tps,group9_delay,group10_tps,group10_delay
0,0,228.5714286,17.11516748,114.2857143,16.28935496,228.5714286,16.32476153,81.64285714,37.81071387,114.2857143,16.35156893,103.8961039,16.30336383,81.64285714,37.73846227000001,190.4761905,16.24482702,81.64285714,37.835027800000006,95.23809524,16.33691001
1,1,228.5714286,17.11516748,114.2857143,16.28935496,228.5714286,16.32476153,81.64285714,37.81071387,126.984127,16.3514142,103.8961039,16.30336383,81.64285714,37.73846227000001,190.4761905,16.24482702,81.64285714,37.835027800000006,95.23809524,16.33691001
2,2,228.5714286,17.11516748,114.2857143,16.28935496,228.5714286,16.32476153,81.64285714,37.81071387,142.8571429,16.3371646,103.8961039,16.30336383,53.21794872,38.266723819999996,177.7777778,21.31731021,61.90769231,38.197733160000006,95.23809524,16.25272078
3,3,228.5714286,17.11516748,114.2857143,16.28935496,228.5714286,16.32476153,81.64285714,37.81071387,142.8571429,16.31551069,103.8961039,16.30336383,53.21794872,38.266723819999996,177.7777778,21.31731021,61.90769231,38.197733160000006,95.23809524,16.25272078
4,4,228.5714286,17.11516748,126.984127,16.338180480000002,228.5714286,16.32476153,77.39423077,37.98960205,142.8571429,16.31551069,114.2857143,16.383246970000002,95.23809524,16.32054593,177.7777778,21.31731021,95.23809524,16.29556518,103.8961039,16.30574378
5,5,228.5714286,17.11516748,126.984127,16.338180480000002,228.5714286,16.32476153,77.39423077,37.98960205,142.8571429,16.31551069,114.2857143,16.383246970000002,103.8961039,16.33339745,177.7777778,21.31731021,61.90769231,38.197733160000006,114.2857143,16.39775516
6,6,228.5714286,17.11516748,142.8571429,16.31813898,228.5714286,16.32476153,77.39423077,37.98960205,142.8571429,16.31551069,126.984127,16.36009536,114.2857143,16.33465704,190.4761905,16.24482702,95.23809524,16.29556518,126.984127,16.24794001
7,7,228.5714286,17.11516748,142.8571429,16.31813898,228.5714286,16.32476153,95.23809524,16.30901075,163.2653061,16.30999288,142.8571429,16.28462342,114.2857143,16.33465704,177.7777778,21.31731021,95.23809524,16.29556518,126.984127,16.24794001
8,8,228.5714286,17.11516748,163.2653061,16.346824650000002,228.5714286,16.32476153,103.8961039,16.27382327,190.4761905,16.25156055,126.984127,16.36009536,126.984127,16.29173516,177.7777778,21.31731021,61.90769231,38.197733160000006,126.984127,16.24794001
9,9,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,103.8961039,16.27382327,190.4761905,16.25156055,126.984127,16.36009536,142.8571429,16.29243782,177.7777778,21.31731021,61.90769231,38.197733160000006,126.984127,16.24794001
10,10,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,114.2857143,16.34268954,177.7777778,23.41788901,126.984127,16.36009536,163.2653061,16.36957705,177.7777778,21.31731021,61.90769231,38.197733160000006,126.984127,16.24794001
11,11,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,114.2857143,16.34268954,160.0,23.67027684,142.8571429,16.28462342,190.4761905,16.32153093,177.7777778,21.31731021,95.23809524,16.29556518,142.8571429,16.31026734
12,12,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,114.2857143,16.34268954,160.0,23.67027684,142.8571429,16.28462342,160.0,24.55151769,177.7777778,21.31731021,95.23809524,16.29556518,163.2653061,16.28112298
13,13,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,126.984127,16.338,160.0,23.67027684,163.2653061,16.32751456,160.0,24.55151769,177.7777778,21.31731021,95.23809524,16.29556518,163.2653061,16.28112298
14,14,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,142.8571429,16.34512086,160.0,23.67027684,190.4761905,16.24482702,160.0,24.55151769,177.7777778,21.31731021,95.23809524,16.29556518,190.4761905,16.33471291
15,15,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,142.8571429,16.34512086,160.0,23.67027684,190.4761905,16.24482702,160.0,24.55151769,177.7777778,21.31731021,95.23809524,16.29556518,190.4761905,16.33471291
16,16,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,142.8571429,16.34512086,160.0,23.67027684,163.2653061,16.32751456,160.0,24.55151769,177.7777778,21.31731021,103.8961039,16.32494938,190.4761905,16.31370991
17,17,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,163.2653061,16.28865992,160.0,23.67027684,190.4761905,16.24482702,160.0,24.55151769,177.7777778,21.31731021,103.8961039,16.27545894,145.4545455,27.11052531
18,18,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,163.2653061,16.28865992,160.0,23.67027684,177.7777778,21.31731021,160.0,24.55151769,177.7777778,21.31731021,114.2857143,16.30942895,145.4545455,27.11052531
19,19,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,163.2653061,16.28865992,160.0,23.67027684,177.7777778,21.31731021,160.0,24.55151769,177.7777778,21.31731021,114.2857143,16.30942895,145.4545455,27.49392701
20,20,228.5714286,17.11516748,190.4761905,16.28589289,228.5714286,16.32476153,190.4761905,16.299971250000002,160.0,23.67027684,177.7777778,21.31731021,160.0,24.55151769,177.7777778,21.31731021,114.2857143,16.30942895,145.4545455,27.85361692
