,time,ddqn_tps,ddqn_delay,ppo_tps,ppo_delay
0,0,95.23809524,16.29899238,95.23809524,16.29899238
1,1,103.8961039,16.31883552,228.5714286,16.32476153
2,2,114.2857143,16.26087252,228.5714286,16.32476153
3,3,126.984127,16.30906487,228.5714286,16.32476153
4,4,142.8571429,16.30320772,228.5714286,16.32476153
5,5,163.2653061,16.32723797,228.5714286,16.32476153
6,6,190.4761905,16.28397813,228.5714286,16.32476153
7,7,228.5714286,16.32476153,228.5714286,16.32476153
